asset_id;hour_from;hour_to;station_id
05HXXJBWPGLASS001;6:00;22:00;516
05HXXJBWPGLASS002;6:00;22:00;516
05HXXJBWPGLASS003;6:00;22:00;516
10SZJSPGLASS001;6:00;22:00;1002
10SZJSPGLASS002;6:00;22:00;1002
10SZJSPGLASS003;6:00;22:00;1002
10ZCLINPGLASS001;6:00;22:00;1004
10ZCLINPGLASS002;6:00;22:00;1004
10ZCLINPGLASS003;6:00;22:00;1004
10ZCLISPGLASS001;6:00;22:00;1004
10ZCLISPGLASS002;6:00;22:00;1004
10ZCLISPGLASS003;6:00;22:00;1004
10ZCLNPGLASS001;6:00;22:00;1005
10ZCLNPGLASS002;6:00;22:00;1005
10ZCLNPGLASS003;6:00;22:00;1005
10ZCLSPGLASS001;6:00;22:00;1005
10ZCLSPGLASS002;6:00;22:00;1005
10ZCLSPGLASS003;6:00;22:00;1005
10SJZSPGLASS001;6:00;22:00;501
10SJZSPGLASS002;6:00;22:00;501
10SJZSPGLASS003;6:00;22:00;501
01GCPPL001;6:00;22:00;101
01GCPPL002;6:00;22:00;101
01GCPPL003;6:00;22:00;101
01GCPPL004;6:00;22:00;101
01GCPPL005;6:00;22:00;101
01GCPPL006;6:00;22:00;101
01GCPPL007;6:00;22:00;101
01GCPPL008;6:00;22:00;101
01GCPPL009;6:00;22:00;101
01GCPPL010;6:00;22:00;101
01GCPPL011;6:00;22:00;101
01GCPPL012;6:00;22:00;101
01GCPPL013;6:00;22:00;101
01GCPPL014;6:00;22:00;101
01GCPPL015;6:00;22:00;101
01GCPPL016;6:00;22:00;101
01GCPPL017;6:00;22:00;101
01GCPPL018;6:00;22:00;101
01GCPPL019;6:00;22:00;101
01GCPPL020;6:00;22:00;101
01GCPPL021;6:00;22:00;101
01GCPPL022;6:00;22:00;101
01GCPPL023;6:00;22:00;101
01GCPPL024;6:00;22:00;101
01GCPPL025;6:00;22:00;101
01GCPPL026;6:00;22:00;101
01GCPPL027;6:00;22:00;101
