station_id;year;month;departure;arrival
101;2022;1;551016;551016
101;2022;2;610430;610430
101;2022;3;712428.5;712428.5
101;2022;4;680537.5;680537.5
101;2022;5;684452.5;684452.5
101;2022;6;665962;665962
101;2021;7;702670.5;702670.5
101;2021;8;586880.5;586880.5
101;2021;9;535039.5;535039.5
101;2021;10;543255;543255
101;2021;11;575172.5;575172.5
101;2021;12;595989;595989
102;2022;1;579184.5;579184.5
102;2022;2;444748.5;444748.5
102;2022;3;497419;497419
102;2022;4;496755;496755
102;2022;5;486931;486931
102;2022;6;458568.5;458568.5
102;2021;7;498953;498953
102;2021;8;635890.5;635890.5
102;2021;9;553406.5;553406.5
102;2021;10;548798.5;548798.5
102;2021;11;557945;557945
102;2021;12;590748;590748
103;2022;1;692005;692005
103;2022;2;506194;506194
103;2022;3;599717.5;599717.5
103;2022;4;574655.5;574655.5
103;2022;5;553856;553856
103;2022;6;536706;536706
103;2021;7;562213;562213
103;2021;8;697758.5;697758.5
103;2021;9;623844.5;623844.5
103;2021;10;630195.5;630195.5
103;2021;11;670190.5;670190.5
103;2021;12;689188;689188
104;2022;1;677763.5;677763.5
104;2022;2;418691.5;418691.5
104;2022;3;513507.5;513507.5
104;2022;4;491489.5;491489.5
104;2022;5;484126.5;484126.5
104;2022;6;474675;474675
104;2021;7;494284;494284
104;2021;8;685251;685251
104;2021;9;626248;626248
104;2021;10;617610.5;617610.5
104;2021;11;647408.5;647408.5
104;2021;12;663910;663910
105;2022;1;1054433;1054433
105;2022;2;806568.5;806568.5
105;2022;3;945820.5;945820.5
105;2022;4;941714;941714
105;2022;5;922740.5;922740.5
105;2022;6;934948.5;934948.5
105;2021;7;1013038.5;1013038.5
105;2021;8;1221728.5;1221728.5
105;2021;9;1055193;1055193
105;2021;10;1056025;1056025
105;2021;11;1115730;1115730
105;2021;12;1153459;1153459
106;2022;1;508160;508160
106;2022;2;376150.5;376150.5
106;2022;3;429911.5;429911.5
106;2022;4;414853.5;414853.5
106;2022;5;406102;406102
106;2022;6;406249;406249
106;2021;7;436870.5;436870.5
106;2021;8;525790.5;525790.5
106;2021;9;492269;492269
106;2021;10;494996.5;494996.5
106;2021;11;530127;530127
106;2021;12;542178.5;542178.5
107;2022;1;472271;472271
107;2022;2;328460.5;328460.5
107;2022;3;428500;428500
107;2022;4;418718.5;418718.5
107;2022;5;370298.5;370298.5
107;2022;6;362280.5;362280.5
107;2021;7;391264;391264
107;2021;8;499226;499226
107;2021;9;446646;446646
107;2021;10;443931;443931
107;2021;11;466053.5;466053.5
107;2021;12;485906.5;485906.5
108;2022;1;590868.5;590868.5
108;2022;2;487738;487738
108;2022;3;562117.5;562117.5
108;2022;4;575551.5;575551.5
108;2022;5;522014;522014
108;2022;6;546616.5;546616.5
108;2021;7;691714.5;691714.5
108;2021;8;936143.5;936143.5
108;2021;9;590897;590897
108;2021;10;635436.5;635436.5
108;2021;11;607658.5;607658.5
108;2021;12;613959.5;613959.5
