zone;direction;part_of_week;part_of_day;hour;station_id;metro_line;dwell_time_sec
PLATFORM;D;weekday;morning;05:00;101;1;300
PLATFORM;D;weekday;morning;06:00;101;1;180
PLATFORM;D;weekday;morning;11:00;101;1;360
PLATFORM;D;weekday;afternoon;16:00;101;1;120
PLATFORM;D;weekday;evening;22:00;101;1;420
PLATFORM;D;weekend;morning;05:00;101;1;420
PLATFORM;D;weekend;morning;08:00;101;1;180
PLATFORM;D;weekend;afternoon;12:00;101;1;240
PLATFORM;D;weekend;afternoon;14:00;101;1;180
PLATFORM;D;weekend;evening;20:00;101;1;300
PLATFORM;D;weekend;evening;22:00;101;1;420
PLATFORM;D;weekday;morning;05:00;102;1;300
PLATFORM;D;weekday;morning;06:00;102;1;180
PLATFORM;D;weekday;morning;11:00;102;1;360
PLATFORM;D;weekday;afternoon;16:00;102;1;120
PLATFORM;D;weekday;evening;22:00;102;1;420
PLATFORM;D;weekend;morning;05:00;102;1;420
PLATFORM;D;weekend;morning;08:00;102;1;180
PLATFORM;D;weekend;afternoon;12:00;102;1;240
PLATFORM;D;weekend;afternoon;14:00;102;1;180
PLATFORM;D;weekend;evening;20:00;102;1;300
PLATFORM;D;weekend;evening;22:00;102;1;420
PLATFORM;D;weekday;morning;05:00;103;1;300
PLATFORM;D;weekday;morning;06:00;103;1;180
PLATFORM;D;weekday;morning;11:00;103;1;360
PLATFORM;D;weekday;afternoon;16:00;103;1;120
PLATFORM;D;weekday;evening;22:00;103;1;420
PLATFORM;D;weekend;morning;05:00;103;1;420
PLATFORM;D;weekend;morning;08:00;103;1;180
PLATFORM;D;weekend;afternoon;12:00;103;1;240
PLATFORM;D;weekend;afternoon;14:00;103;1;180
PLATFORM;D;weekend;evening;20:00;103;1;300
PLATFORM;D;weekend;evening;22:00;103;1;420
PLATFORM;D;weekday;morning;05:00;104;1;300
PLATFORM;D;weekday;morning;06:00;104;1;180
PLATFORM;D;weekday;morning;11:00;104;1;360
PLATFORM;D;weekday;afternoon;16:00;104;1;120
PLATFORM;D;weekday;evening;22:00;104;1;420
PLATFORM;D;weekend;morning;05:00;104;1;420
PLATFORM;D;weekend;morning;08:00;104;1;180
PLATFORM;D;weekend;afternoon;12:00;104;1;240
PLATFORM;D;weekend;afternoon;14:00;104;1;180
PLATFORM;D;weekend;evening;20:00;104;1;300
PLATFORM;D;weekend;evening;22:00;104;1;420
PLATFORM;D;weekday;morning;05:00;105;1;300
PLATFORM;D;weekday;morning;06:00;105;1;180
PLATFORM;D;weekday;morning;11:00;105;1;360
PLATFORM;D;weekday;afternoon;16:00;105;1;120
PLATFORM;D;weekday;evening;22:00;105;1;420
PLATFORM;D;weekend;morning;05:00;105;1;420
PLATFORM;D;weekend;morning;08:00;105;1;180
PLATFORM;D;weekend;afternoon;12:00;105;1;240
PLATFORM;D;weekend;afternoon;14:00;105;1;180
PLATFORM;D;weekend;evening;20:00;105;1;300
PLATFORM;D;weekend;evening;22:00;105;1;420
PLATFORM;D;weekday;morning;05:00;106;1;300
PLATFORM;D;weekday;morning;06:00;106;1;180
PLATFORM;D;weekday;morning;11:00;106;1;360
PLATFORM;D;weekday;afternoon;16:00;106;1;120
PLATFORM;D;weekday;evening;22:00;106;1;420
PLATFORM;D;weekend;morning;05:00;106;1;420
PLATFORM;D;weekend;morning;08:00;106;1;180
PLATFORM;D;weekend;afternoon;12:00;106;1;240
PLATFORM;D;weekend;afternoon;14:00;106;1;180
PLATFORM;D;weekend;evening;20:00;106;1;300
PLATFORM;D;weekend;evening;22:00;106;1;420
PLATFORM;D;weekday;morning;05:00;107;1;300
PLATFORM;D;weekday;morning;06:00;107;1;180
PLATFORM;D;weekday;morning;11:00;107;1;360
PLATFORM;D;weekday;afternoon;16:00;107;1;120
PLATFORM;D;weekday;evening;22:00;107;1;420
PLATFORM;D;weekend;morning;05:00;107;1;420
PLATFORM;D;weekend;morning;08:00;107;1;180
PLATFORM;D;weekend;afternoon;12:00;107;1;240
PLATFORM;D;weekend;afternoon;14:00;107;1;180
PLATFORM;D;weekend;evening;20:00;107;1;300
PLATFORM;D;weekend;evening;22:00;107;1;420
PLATFORM;D;weekday;morning;05:00;107;10;300
PLATFORM;D;weekday;morning;06:00;107;10;180
PLATFORM;D;weekday;morning;11:00;107;10;360
PLATFORM;D;weekday;afternoon;16:00;107;10;120
PLATFORM;D;weekday;evening;22:00;107;10;420
PLATFORM;D;weekend;morning;05:00;107;10;420
PLATFORM;D;weekend;morning;08:00;107;10;180
PLATFORM;D;weekend;afternoon;12:00;107;10;240
PLATFORM;D;weekend;afternoon;14:00;107;10;180
PLATFORM;D;weekend;evening;20:00;107;10;300
PLATFORM;D;weekend;evening;22:00;107;10;420
PLATFORM;D;weekday;morning;05:00;108;1;300
PLATFORM;D;weekday;morning;06:00;108;1;180
PLATFORM;D;weekday;morning;11:00;108;1;360
PLATFORM;D;weekday;afternoon;16:00;108;1;120
PLATFORM;D;weekday;evening;22:00;108;1;420
PLATFORM;D;weekend;morning;05:00;108;1;420
PLATFORM;D;weekend;morning;08:00;108;1;180
PLATFORM;D;weekend;afternoon;12:00;108;1;240
PLATFORM;D;weekend;afternoon;14:00;108;1;180
PLATFORM;D;weekend;evening;20:00;108;1;300
PLATFORM;D;weekend;evening;22:00;108;1;420
PLATFORM;D;weekday;morning;05:00;108;9;300
PLATFORM;D;weekday;morning;06:00;108;9;180
PLATFORM;D;weekday;morning;11:00;108;9;360
PLATFORM;D;weekday;afternoon;16:00;108;9;120
PLATFORM;D;weekday;evening;22:00;108;9;420
PLATFORM;D;weekend;morning;05:00;108;9;420
PLATFORM;D;weekend;morning;08:00;108;9;180
PLATFORM;D;weekend;afternoon;12:00;108;9;240
PLATFORM;D;weekend;afternoon;14:00;108;9;180
PLATFORM;D;weekend;evening;20:00;108;9;300
PLATFORM;D;weekend;evening;22:00;108;9;420
PLATFORM;D;weekday;morning;05:00;109;1;300
PLATFORM;D;weekday;morning;06:00;109;1;180
PLATFORM;D;weekday;morning;11:00;109;1;360
PLATFORM;D;weekday;afternoon;16:00;109;1;120
PLATFORM;D;weekday;evening;22:00;109;1;420
PLATFORM;D;weekend;morning;05:00;109;1;420
PLATFORM;D;weekend;morning;08:00;109;1;180
PLATFORM;D;weekend;afternoon;12:00;109;1;240
PLATFORM;D;weekend;afternoon;14:00;109;1;180
PLATFORM;D;weekend;evening;20:00;109;1;300
PLATFORM;D;weekend;evening;22:00;109;1;420
PLATFORM;D;weekday;morning;05:00;110;1;300
PLATFORM;D;weekday;morning;06:00;110;1;180
PLATFORM;D;weekday;morning;11:00;110;1;360
PLATFORM;D;weekday;afternoon;16:00;110;1;120
PLATFORM;D;weekday;evening;22:00;110;1;420
PLATFORM;D;weekend;morning;05:00;110;1;420
PLATFORM;D;weekend;morning;08:00;110;1;180
PLATFORM;D;weekend;afternoon;12:00;110;1;240
PLATFORM;D;weekend;afternoon;14:00;110;1;180
PLATFORM;D;weekend;evening;20:00;110;1;300
PLATFORM;D;weekend;evening;22:00;110;1;420
PLATFORM;D;weekday;morning;05:00;111;1;300
PLATFORM;D;weekday;morning;06:00;111;1;180
PLATFORM;D;weekday;morning;11:00;111;1;360
PLATFORM;D;weekday;afternoon;16:00;111;1;120
PLATFORM;D;weekday;evening;22:00;111;1;420
PLATFORM;D;weekend;morning;05:00;111;1;420
PLATFORM;D;weekend;morning;08:00;111;1;180
PLATFORM;D;weekend;afternoon;12:00;111;1;240
PLATFORM;D;weekend;afternoon;14:00;111;1;180
PLATFORM;D;weekend;evening;20:00;111;1;300
PLATFORM;D;weekend;evening;22:00;111;1;420
PLATFORM;D;weekday;morning;05:00;111;2;300
PLATFORM;D;weekday;morning;06:00;111;2;180
PLATFORM;D;weekday;morning;11:00;111;2;360
PLATFORM;D;weekday;afternoon;16:00;111;2;120
PLATFORM;D;weekday;evening;22:00;111;2;420
PLATFORM;D;weekend;morning;05:00;111;2;420
PLATFORM;D;weekend;morning;08:00;111;2;180
PLATFORM;D;weekend;afternoon;12:00;111;2;240
PLATFORM;D;weekend;afternoon;14:00;111;2;180
PLATFORM;D;weekend;evening;20:00;111;2;300
PLATFORM;D;weekend;evening;22:00;111;2;420
PLATFORM;D;weekday;morning;05:00;112;1;300
PLATFORM;D;weekday;morning;06:00;112;1;180
PLATFORM;D;weekday;morning;11:00;112;1;360
PLATFORM;D;weekday;afternoon;16:00;112;1;120
PLATFORM;D;weekday;evening;22:00;112;1;420
PLATFORM;D;weekend;morning;05:00;112;1;420
PLATFORM;D;weekend;morning;08:00;112;1;180
PLATFORM;D;weekend;afternoon;12:00;112;1;240
PLATFORM;D;weekend;afternoon;14:00;112;1;180
PLATFORM;D;weekend;evening;20:00;112;1;300
PLATFORM;D;weekend;evening;22:00;112;1;420
PLATFORM;D;weekday;morning;05:00;113;1;300
PLATFORM;D;weekday;morning;06:00;113;1;180
PLATFORM;D;weekday;morning;11:00;113;1;360
PLATFORM;D;weekday;afternoon;16:00;113;1;120
PLATFORM;D;weekday;evening;22:00;113;1;420
PLATFORM;D;weekend;morning;05:00;113;1;420
PLATFORM;D;weekend;morning;08:00;113;1;180
PLATFORM;D;weekend;afternoon;12:00;113;1;240
PLATFORM;D;weekend;afternoon;14:00;113;1;180
PLATFORM;D;weekend;evening;20:00;113;1;300
PLATFORM;D;weekend;evening;22:00;113;1;420
PLATFORM;D;weekday;morning;05:00;114;1;300
PLATFORM;D;weekday;morning;06:00;114;1;180
PLATFORM;D;weekday;morning;11:00;114;1;360
PLATFORM;D;weekday;afternoon;16:00;114;1;120
PLATFORM;D;weekday;evening;22:00;114;1;420
PLATFORM;D;weekend;morning;05:00;114;1;420
PLATFORM;D;weekend;morning;08:00;114;1;180
PLATFORM;D;weekend;afternoon;12:00;114;1;240
PLATFORM;D;weekend;afternoon;14:00;114;1;180
PLATFORM;D;weekend;evening;20:00;114;1;300
PLATFORM;D;weekend;evening;22:00;114;1;420
PLATFORM;D;weekday;morning;05:00;115;1;300
PLATFORM;D;weekday;morning;06:00;115;1;180
PLATFORM;D;weekday;morning;11:00;115;1;360
PLATFORM;D;weekday;afternoon;16:00;115;1;120
PLATFORM;D;weekday;evening;22:00;115;1;420
PLATFORM;D;weekend;morning;05:00;115;1;420
PLATFORM;D;weekend;morning;08:00;115;1;180
